<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RUR,D,20110101,0000,30.552,0
RUR,D,20110102,0000,30.525,0
RUR,D,20110103,0000,30.533,0
RUR,D,20110104,0000,30.376,0
RUR,D,20110105,0000,30.635,0
RUR,D,20110106,0000,30.685,0
RUR,D,20110107,0000,30.75,0
RUR,D,20110108,0000,30.75,0
RUR,D,20110109,0000,30.75,0
RUR,D,20110110,0000,30.722,0
RUR,D,20110111,0000,30.5068,0
RUR,D,20110112,0000,30.0905,0
RUR,D,20110113,0000,29.9425,0
RUR,D,20110114,0000,29.9921,0
RUR,D,20110115,0000,29.995,0
RUR,D,20110116,0000,29.97,0
RUR,D,20110117,0000,29.97,0
RUR,D,20110118,0000,29.8917,0
RUR,D,20110119,0000,29.8283,0
RUR,D,20110120,0000,29.9725,0
RUR,D,20110121,0000,29.95,0
RUR,D,20110122,0000,29.95,0
RUR,D,20110123,0000,29.952,0
RUR,D,20110124,0000,29.832,0
RUR,D,20110125,0000,29.706,0
RUR,D,20110126,0000,29.7155,0
RUR,D,20110127,0000,29.5795,0
RUR,D,20110128,0000,29.775,0
RUR,D,20110129,0000,29.803,0
RUR,D,20110130,0000,29.729,0
RUR,D,20110131,0000,29.7863,0
RUR,D,20110201,0000,29.521,0
RUR,D,20110202,0000,29.4305,0
RUR,D,20110203,0000,29.431,0
RUR,D,20110204,0000,29.3955,0
RUR,D,20110205,0000,29.428,0
RUR,D,20110206,0000,29.417,0
RUR,D,20110207,0000,29.258,0
RUR,D,20110208,0000,29.2605,0
RUR,D,20110209,0000,29.2364,0
RUR,D,20110210,0000,29.347,0
RUR,D,20110211,0000,29.305,0
RUR,D,20110212,0000,29.335,0
RUR,D,20110213,0000,29.343,0
RUR,D,20110214,0000,29.28,0
RUR,D,20110215,0000,29.3235,0
RUR,D,20110216,0000,29.198,0
RUR,D,20110217,0000,29.244,0
RUR,D,20110218,0000,29.165,0
RUR,D,20110219,0000,29.165,0
RUR,D,20110220,0000,29.168,0
RUR,D,20110221,0000,29.1505,0
RUR,D,20110222,0000,29.2701,0
RUR,D,20110223,0000,29.1681,0
RUR,D,20110224,0000,28.976,0
RUR,D,20110225,0000,28.946,0
RUR,D,20110226,0000,28.935,0
RUR,D,20110227,0000,28.944,0
RUR,D,20110228,0000,28.848,0
RUR,D,20110301,0000,28.7428,0
RUR,D,20110302,0000,28.3785,0
RUR,D,20110303,0000,28.1703,0
RUR,D,20110304,0000,28.1564,0
RUR,D,20110305,0000,28.215,0
RUR,D,20110306,0000,28.179,0
RUR,D,20110307,0000,28.216,0
RUR,D,20110308,0000,28.16,0
RUR,D,20110309,0000,28.3635,0
RUR,D,20110310,0000,28.6075,0
RUR,D,20110311,0000,28.675,0
RUR,D,20110312,0000,28.757,0
RUR,D,20110313,0000,28.757,0
RUR,D,20110314,0000,28.492,0
RUR,D,20110315,0000,28.718,0
RUR,D,20110316,0000,28.6805,0
RUR,D,20110317,0000,28.6285,0
RUR,D,20110318,0000,28.445,0
RUR,D,20110319,0000,28.437,0
RUR,D,20110320,0000,28.451,0
RUR,D,20110321,0000,28.251,0
RUR,D,20110322,0000,28.217,0
RUR,D,20110323,0000,28.39,0
RUR,D,20110324,0000,28.297,0
RUR,D,20110325,0000,28.277,0
RUR,D,20110326,0000,28.276,0
RUR,D,20110327,0000,28.276,0
RUR,D,20110328,0000,28.3365,0
RUR,D,20110329,0000,28.3465,0
RUR,D,20110330,0000,28.545,0
RUR,D,20110331,0000,28.417,0
RUR,D,20110401,0000,28.275,0
RUR,D,20110402,0000,28.238,0
RUR,D,20110403,0000,28.385,0
RUR,D,20110404,0000,28.2945,0
RUR,D,20110405,0000,28.27,0
RUR,D,20110406,0000,28.1525,0
RUR,D,20110407,0000,28.2045,0
RUR,D,20110408,0000,27.9338,0
RUR,D,20110409,0000,28.015,0
RUR,D,20110410,0000,28.015,0
RUR,D,20110411,0000,28.043,0
RUR,D,20110412,0000,28.136,0
RUR,D,20110413,0000,28.1985,0
RUR,D,20110414,0000,28.1893,0
RUR,D,20110415,0000,28.1258,0
RUR,D,20110416,0000,28.133,0
RUR,D,20110417,0000,28.153,0
RUR,D,20110418,0000,28.32,0
RUR,D,20110419,0000,28.2815,0
RUR,D,20110420,0000,28.0725,0
RUR,D,20110421,0000,27.9855,0
RUR,D,20110422,0000,28.0103,0
RUR,D,20110423,0000,28.019,0
