ƒата выпуска		¬рем€	‘акт.	ѕрогноз	ѕред.	
10.12.2021 (но€б)	16:30	0,8%	0,7%	0,9%	
10.11.2021 (окт)	16:30	0,9%	0,6%	0,4%	
13.10.2021 (сент)	15:30	0,4%	0,3%	0,3%	
14.09.2021 (авг)	15:30	0,3%	0,4%	0,5%	
11.08.2021 (июль)	15:30	0,5%	0,5%	0,9%	
13.07.2021 (июнь)	15:30	0,9%	0,5%	0,6%	
10.06.2021 (май)	15:30	0,6%	0,4%	0,8%	
12.05.2021 (апр)	15:30	0,8%	0,2%	0,6%	
13.04.2021 (мар)	15:30	0,6%	0,5%	0,4%	
10.03.2021 (фев)	16:30	0,4%	0,4%	0,3%	
10.02.2021 (€нв)	16:30	0,3%	0,3%	0,2%	
13.01.2021 (дек)	16:30	0,4%	0,4%	0,2%	
10.12.2020 (но€б)	16:30	0,2%	0,1%	0,2%	
12.11.2020 (окт)	16:30	0,0%	0,1%	0,2%	
13.10.2020 (сент)	15:30	0,2%	0,2%	0,4%	
11.09.2020 (авг)	15:30	0,4%	0,3%	0,6%	
12.08.2020 (июль)	15:30	0,6%	0,3%	0,6%	
14.07.2020 (июнь)	15:30	0,6%	0,5%	-0,1%	
10.06.2020 (май)	15:30	-0,1%	-0,1%	-0,8%	
12.05.2020 (апр)	15:30	-0,8%	-0,8%	-0,4%	
10.04.2020 (мар)	15:30	-0,4%	-0,3%	0,1%	
11.03.2020 (фев)	15:30	0,1%	0,2%	0,1%	
13.02.2020 (€нв)	16:30	0,1%	0,2%	0,2%	
14.01.2020 (дек)	16:30	0,2%	0,3%	0,3%	
11.12.2019 (но€б)	16:30	0,3%	0,2%	0,4%	
13.11.2019 (окт)	16:30	0,4%	0,3%	0,1%	
10.10.2019 (сент)	15:30	0,0%	0,1%	0,1%	
12.09.2019 (авг)	15:30	0,1%	0,1%	0,3%	
13.08.2019 (июль)	15:30	0,3%	0,3%	0,1%	
11.07.2019 (июнь)	15:30	0,1%	0,0%	0,1%	
12.06.2019 (май)	15:30	0,1%	0,1%	0,3%	
10.05.2019 (апр)	15:30	0,3%	0,4%	0,4%	
10.04.2019 (мар)	15:30	0,4%	0,3%	0,2%	
12.03.2019 (фев)	15:30	0,2%	0,2%	0,0%	
13.02.2019 (€нв)	16:30	0,0%	0,1%	-0,1%	
11.01.2019 (дек)	16:30	-0,1%	-0,1%	0,0%	
12.12.2018 (но€б)	16:30	0,0%	0,1%	0,3%	
14.11.2018 (окт)	16:30	0,3%	0,3%	0,1%	
11.10.2018 (сент)	15:30	0,1%	0,2%	0,2%	
13.09.2018 (авг)	15:30	0,2%	0,3%	0,2%	
10.08.2018 (июль)	15:30	0,2%	0,2%	0,1%	
12.07.2018 (июнь)	15:30	0,1%	0,2%	0,2%	
12.06.2018 (май)	15:30	0,2%	0,2%	0,2%	
10.05.2018 (апр)	15:30	0,2%	0,3%	-0,1%	
11.04.2018 (мар)	15:30	-0,1%	0,0%	0,2%	
13.03.2018 (фев)	15:30	0,2%	0,2%	0,5%	
14.02.2018 (€нв)	16:30	0,5%	0,3%	0,2%	
12.01.2018 (дек)	16:30	0,1%	0,2%	0,4%	
13.12.2017 (но€б)	16:30	0,4%	0,4%	0,1%	
15.11.2017 (окт)	16:30	0,1%	0,1%	0,5%	
13.10.2017 (сент)	15:30	0,5%	0,6%	0,4%	
14.09.2017 (авг)	15:30	0,4%	0,3%	0,1%	
11.08.2017 (июль)	15:30	0,1%	0,2%	0,0%	
14.07.2017 (июнь)	15:30	0,0%	0,1%	-0,1%	
14.06.2017 (май)	15:30	-0,1%	0,1%	0,2%	
12.05.2017 (апр)	15:30	0,2%	0,2%	-0,3%	
14.04.2017 (мар)	15:30	-0,3%	0,1%	0,1%	
15.03.2017 (фев)	15:30	0,1%	0,1%	0,6%	
15.02.2017 (€нв)	16:30	0,6%	0,3%	0,3%	
18.01.2017 (дек)	16:30	0,3%	0,3%	0,2%	
15.12.2016 (но€б)	16:30	0,2%	0,2%	0,4%	
17.11.2016 (окт)	16:30	0,4%	0,4%	0,3%	
18.10.2016 (сент)	15:30	0,3%	0,3%	0,2%	
16.09.2016 (авг)	15:30	0,2%	0,1%	0,0%	
16.08.2016 (июль)	15:30	0,0%	0,1%	0,2%	
15.07.2016 (июнь)	15:30	0,2%	0,3%	0,2%	
16.06.2016 (май)	15:30	0,2%	0,3%	0,4%	
17.05.2016 (апр)	15:30	0,4%	0,3%	0,1%	
14.04.2016 (мар)	15:30	0,1%	0,2%	-0,2%	
16.03.2016 (фев)	15:30	-0,2%	-0,2%	0,0%	
19.02.2016 (€нв)	16:30	0,0%	-0,1%	-0,1%	
20.01.2016 (дек)	16:30	-0,1%	0,0%	0,0%	
15.12.2015 (но€б)	16:30	0,0%	0,0%	0,2%	
17.11.2015 (окт)	16:30	0,2%	0,2%	-0,2%	
15.10.2015 (сент)	15:30	-0,2%	-0,2%	-0,1%	
16.09.2015 (авг)	15:30	-0,1%	-0,1%	0,1%	
19.08.2015 (июль)	15:30	0,1%	0,2%	0,3%	
17.07.2015 (июнь)	15:30	0,3%	0,3%	0,4%	
18.06.2015 (май)	15:30	0,4%	0,5%	0,1%	
22.05.2015 (апр)	15:30	0,1%	0,1%	0,2%	
17.04.2015 (мар)	15:30	0,2%	0,3%	0,2%	
24.03.2015 (фев)	15:30	0,2%	0,2%	-0,7%	
26.02.2015 (€нв)	16:30	-0,7%	-0,6%	-0,4%	
16.01.2015 (дек)	16:30	-0,4%	-0,4%	-0,3%	
17.12.2014 (но€б)	16:30	-0,3%	-0,1%	0,0%	
20.11.2014 (окт)	16:30	0,0%	-0,1%	0,1%	
22.10.2014 (сент)	15:30	0,1%	0,1%	-0,2%	
17.09.2014 (авг)	15:30	-0,2%	0,1%	0,1%	
19.08.2014	15:30	0,1%	0,1%	0,3%	
22.07.2014	15:30	0,3%	0,3%	0,4%	
17.06.2014	15:30	0,4%	0,2%	0,3%	
15.05.2014	15:30	0,3%	0,3%	0,2%	
15.04.2014	15:30	0,2%	0,1%	0,1%	
18.03.2014	15:30	0,1%	0,1%	0,1%	
20.02.2014	16:30	0,1%	0,1%	0,2%	
16.01.2014	16:30	0,3%	0,3%	0,0%	
17.12.2013	16:30	0,0%	0,1%	-0,1%	
20.11.2013	16:30	-0,1%	0,1%	0,2%	
30.10.2013	15:30	0,2%	0,2%	0,1%	
17.09.2013	15:30	0,1%	0,2%	0,2%	
15.08.2013	15:30	0,2%	0,2%	0,5%	
16.07.2013	15:30	0,5%	0,3%	0,1%	
